region,incomegroup,foundedyr
North America,High income,1886
North America,High income,1973
North America,High income,1884
North America,High income,1930
North America,High income,1865
North America,High income,1874
North America,High income,1964
North America,High income,1970
North America,High income,1915
North America,High income,1701
North America,High income,1886
North America,High income,1989
North America,High income,1956
North America,High income,1941
North America,High income,1908
North America,High income,2009
North America,High income,2009
North America,High income,1972
North America,High income,1949
North America,High income,1959
North America,High income,1888
North America,High income,1965
North America,High income,2007
North America,High income,1974
North America,High income,1884
North America,High income,1893
North America,High income,1958
North America,High income,1958
North America,High income,1971
North America,High income,1867
North America,High income,1940
Latin America and Caribbean,Upper middle income,1939
South Asia,Lower middle income,1979
East Asia and Pacific,Upper middle income,1992
Latin America and Caribbean,Upper middle income,1977
Latin America and Caribbean,Upper middle income,1972
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1958
Latin America and Caribbean,Upper middle income,1988
Europe and Central Asia,High income,1949
Europe and Central Asia,Upper middle income,1991
Europe and Central Asia,Upper middle income,1960
Europe and Central Asia,Upper middle income,1913
Europe and Central Asia,Upper middle income,1878
Europe and Central Asia,Upper middle income,1932
Europe and Central Asia,Upper middle income,1967
Europe and Central Asia,Upper middle income,1931
Europe and Central Asia,Upper middle income,1930
,,1957
,,1989
Europe and Central Asia,Upper middle income,1929
Europe and Central Asia,Upper middle income,1993
Europe and Central Asia,Upper middle income,1961
Europe and Central Asia,Upper middle income,1993
Europe and Central Asia,Upper middle income,1992
Europe and Central Asia,Upper middle income,1955
,,1919
Europe and Central Asia,Upper middle income,1939
,,1927
Europe and Central Asia,Upper middle income,1949
Europe and Central Asia,Upper middle income,1971
,,1995
Europe and Central Asia,Upper middle income,1988
Europe and Central Asia,Upper middle income,1919
Europe and Central Asia,Upper middle income,1992
,,1896
Europe and Central Asia,Upper middle income,1930
Europe and Central Asia,Upper middle income,1931
Europe and Central Asia,Upper middle income,1919
Europe and Central Asia,Upper middle income,1914
,,1962
Europe and Central Asia,Upper middle income,1969
Europe and Central Asia,Upper middle income,1942
Europe and Central Asia,Upper middle income,1973
,,1971
Europe and Central Asia,Upper middle income,1993
,,1996
Europe and Central Asia,Upper middle income,1779
,,1931
Europe and Central Asia,Upper middle income,1919
Europe and Central Asia,Upper middle income,1876
Europe and Central Asia,Upper middle income,1966
Europe and Central Asia,Upper middle income,1979
Europe and Central Asia,Upper middle income,1930
Europe and Central Asia,Upper middle income,1995
Europe and Central Asia,Upper middle income,1971
Europe and Central Asia,Upper middle income,1918
Sub-Saharan Africa,Low income,1955
Sub-Saharan Africa,Low income,2011
Europe and Central Asia,Upper middle income,1802
Sub-Saharan Africa,Upper middle income,1976
Europe and Central Asia,Upper middle income,1930
Europe and Central Asia,Upper middle income,1912
Europe and Central Asia,Upper middle income,1930
South Asia,Lower middle income,1966
South Asia,Lower middle income,1921
Europe and Central Asia,Upper middle income,1930
Europe and Central Asia,Upper middle income,1918
Europe and Central Asia,Upper middle income,1918
Europe and Central Asia,Upper middle income,1995
Europe and Central Asia,Upper middle income,1972
Sub-Saharan Africa,Upper middle income,1976
Europe and Central Asia,Upper middle income,1992
Europe and Central Asia,Upper middle income,1993
Europe and Central Asia,Upper middle income,1960
Europe and Central Asia,Upper middle income,1962
Europe and Central Asia,Upper middle income,1997
Europe and Central Asia,Upper middle income,1951
Europe and Central Asia,Upper middle income,1930
Europe and Central Asia,Upper middle income,1993
Europe and Central Asia,Upper middle income,1994
Sub-Saharan Africa,Upper middle income,1925
Europe and Central Asia,Upper middle income,1931
Sub-Saharan Africa,Low income,1963
Europe and Central Asia,Upper middle income,1919
Sub-Saharan Africa,Low income,2002
Europe and Central Asia,Upper middle income,1930
Europe and Central Asia,Upper middle income,1993
Europe and Central Asia,Upper middle income,1809
Europe and Central Asia,Upper middle income,1938
Europe and Central Asia,Upper middle income,1997
Europe and Central Asia,Upper middle income,1994
Europe and Central Asia,Upper middle income,1930
Europe and Central Asia,Upper middle income,2000
Europe and Central Asia,Upper middle income,2008
Sub-Saharan Africa,Low income,1989
Europe and Central Asia,Upper middle income,1993
Sub-Saharan Africa,Low income,2010
Europe and Central Asia,Upper middle income,1925
Europe and Central Asia,Upper middle income,2000
Europe and Central Asia,Upper middle income,2000
Europe and Central Asia,Upper middle income,1958
Europe and Central Asia,Upper middle income,1929
Europe and Central Asia,Upper middle income,1998
Sub-Saharan Africa,Low income,2006
Europe and Central Asia,Upper middle income,2000
Sub-Saharan Africa,Low income,2003
Sub-Saharan Africa,Low income,1996
Sub-Saharan Africa,Low income,1997
Sub-Saharan Africa,Low income,2002
Sub-Saharan Africa,Low income,1990
Sub-Saharan Africa,Low income,2006
Sub-Saharan Africa,Low income,1978
Sub-Saharan Africa,Low income,2002
Sub-Saharan Africa,Low income,1999
Sub-Saharan Africa,Low income,1996
Sub-Saharan Africa,Low income,1997
Sub-Saharan Africa,Low income,2013
Latin America and Caribbean,High income,1988
East Asia and Pacific,Upper middle income,1984
East Asia and Pacific,Upper middle income,1977
Europe and Central Asia,High income,1985
Sub-Saharan Africa,Lower middle income,1996
Middle East and North Africa,High income,2001
Middle East and North Africa,High income,2006
Middle East and North Africa,High income,2002
Middle East and North Africa,High income,2009
Middle East and North Africa,High income,1961
Middle East and North Africa,High income,2005
Middle East and North Africa,High income,2001
Middle East and North Africa,High income,2002
Middle East and North Africa,High income,2005
Middle East and North Africa,High income,2000
Europe and Central Asia,High income,1968
Europe and Central Asia,High income,1999
Europe and Central Asia,High income,2001
Europe and Central Asia,High income,1808
Europe and Central Asia,High income,1505
Europe and Central Asia,High income,1965
Europe and Central Asia,High income,2004
Europe and Central Asia,High income,2003
Europe and Central Asia,High income,1992
Europe and Central Asia,High income,2002
Europe and Central Asia,High income,2000
North America,High income,1935
North America,High income,1867
Europe and Central Asia,High income,1809
Europe and Central Asia,High income,1991
Europe and Central Asia,High income,2005
Europe and Central Asia,High income,1951
Europe and Central Asia,High income,2004
Europe and Central Asia,High income,2001
Europe and Central Asia,High income,1994
Europe and Central Asia,High income,2002
Europe and Central Asia,High income,1997
Europe and Central Asia,High income,1994
Europe and Central Asia,High income,1999
Europe and Central Asia,High income,1994
Europe and Central Asia,High income,1995
Europe and Central Asia,High income,1997
Europe and Central Asia,High income,1996
Europe and Central Asia,High income,2008
Europe and Central Asia,High income,1998
Europe and Central Asia,High income,1998
Europe and Central Asia,High income,1994
Europe and Central Asia,High income,1998
Europe and Central Asia,High income,1998
Europe and Central Asia,High income,1995
Europe and Central Asia,High income,2005
Europe and Central Asia,High income,2005
Europe and Central Asia,High income,1995
Europe and Central Asia,High income,2004
Europe and Central Asia,High income,1992
Europe and Central Asia,High income,2001
North America,High income,1957
Europe and Central Asia,High income,2006
Europe and Central Asia,High income,1998
Europe and Central Asia,Upper middle income,1985
Europe and Central Asia,Upper middle income,1939
Europe and Central Asia,Upper middle income,1994
Europe and Central Asia,Upper middle income,1931
Europe and Central Asia,Upper middle income,1930
Europe and Central Asia,Upper middle income,1967
Europe and Central Asia,Upper middle income,1918
Europe and Central Asia,Upper middle income,1915
North America,High income,1769
Europe and Central Asia,Upper middle income,1949
Europe and Central Asia,Upper middle income,1918
Europe and Central Asia,Upper middle income,1992
Europe and Central Asia,Upper middle income,1991
North America,High income,1865
Europe and Central Asia,Upper middle income,1919
Europe and Central Asia,Upper middle income,1975
Europe and Central Asia,Upper middle income,1919
Europe and Central Asia,Upper middle income,1991
Europe and Central Asia,Upper middle income,1992
Europe and Central Asia,Upper middle income,1779
North America,High income,1947
Europe and Central Asia,Upper middle income,1919
Europe and Central Asia,Upper middle income,1954
Europe and Central Asia,Upper middle income,1988
Europe and Central Asia,Upper middle income,1920
Europe and Central Asia,Upper middle income,1995
Europe and Central Asia,Upper middle income,1994
Europe and Central Asia,Upper middle income,1990
Europe and Central Asia,Upper middle income,1994
Europe and Central Asia,Upper middle income,1993
Europe and Central Asia,Upper middle income,1997
Europe and Central Asia,Upper middle income,1975
Europe and Central Asia,Upper middle income,1996
Europe and Central Asia,Upper middle income,1997
North America,High income,1889
Europe and Central Asia,Upper middle income,1994
Europe and Central Asia,Upper middle income,1990
North America,High income,1972
Europe and Central Asia,Upper middle income,1994
Europe and Central Asia,Upper middle income,1994
Europe and Central Asia,Upper middle income,1996
Europe and Central Asia,Upper middle income,1996
Europe and Central Asia,Upper middle income,1995
Europe and Central Asia,Upper middle income,1991
Europe and Central Asia,Upper middle income,1994
Europe and Central Asia,Upper middle income,1991
Europe and Central Asia,Upper middle income,1996
Europe and Central Asia,Upper middle income,1991
Europe and Central Asia,Upper middle income,1993
Europe and Central Asia,Upper middle income,1996
Europe and Central Asia,Upper middle income,1995
Europe and Central Asia,Upper middle income,1998
Europe and Central Asia,Upper middle income,1994
Europe and Central Asia,Upper middle income,1999
North America,High income,1865
Europe and Central Asia,Upper middle income,1995
Europe and Central Asia,Upper middle income,1993
Europe and Central Asia,Upper middle income,1994
Europe and Central Asia,Upper middle income,1998
Europe and Central Asia,Upper middle income,1984
Europe and Central Asia,Upper middle income,1992
Europe and Central Asia,Upper middle income,1993
Europe and Central Asia,Upper middle income,2000
Europe and Central Asia,Upper middle income,1993
Europe and Central Asia,Upper middle income,2004
Europe and Central Asia,Upper middle income,2002
Europe and Central Asia,Upper middle income,1991
Europe and Central Asia,Upper middle income,1995
Europe and Central Asia,Upper middle income,1934
Europe and Central Asia,Upper middle income,1948
North America,High income,1837
Europe and Central Asia,Upper middle income,1919
Europe and Central Asia,Low income,1990
Europe and Central Asia,Low income,1992
Europe and Central Asia,Low income,1956
Sub-Saharan Africa,Lower middle income,1974
Europe and Central Asia,Low income,1973
Europe and Central Asia,Low income,1992
Europe and Central Asia,Low income,1945
North America,High income,1957
North America,High income,1890
Europe and Central Asia,Low income,1998
Europe and Central Asia,Low income,1996
Europe and Central Asia,Low income,1948
North America,High income,1956
Europe and Central Asia,Low income,1991
Europe and Central Asia,Low income,1980
North America,High income,1927
North America,High income,1879
Europe and Central Asia,Low income,1931
Sub-Saharan Africa,Lower middle income,1956
Europe and Central Asia,Low income,1991
Europe and Central Asia,Low income,1993
Europe and Central Asia,Low income,1931
Europe and Central Asia,Low income,1939
Sub-Saharan Africa,Lower middle income,2001
Europe and Central Asia,Low income,1948
Europe and Central Asia,Low income,1942
Sub-Saharan Africa,Lower middle income,2003
Sub-Saharan Africa,Lower middle income,1997
Sub-Saharan Africa,Lower middle income,1984
Sub-Saharan Africa,Lower middle income,1998
Sub-Saharan Africa,Lower middle income,1992
Sub-Saharan Africa,Lower middle income,1963
Sub-Saharan Africa,Lower middle income,1965
Sub-Saharan Africa,Lower middle income,1974
Sub-Saharan Africa,Lower middle income,1990
Sub-Saharan Africa,Lower middle income,1963
Sub-Saharan Africa,Lower middle income,1972
Sub-Saharan Africa,Lower middle income,1979
Sub-Saharan Africa,Lower middle income,1996
Sub-Saharan Africa,Lower middle income,1995
Sub-Saharan Africa,Lower middle income,1962
Sub-Saharan Africa,Lower middle income,1963
Sub-Saharan Africa,Lower middle income,1982
Sub-Saharan Africa,Lower middle income,2011
Sub-Saharan Africa,Lower middle income,1960
Sub-Saharan Africa,Lower middle income,2007
Sub-Saharan Africa,Lower middle income,2011
North America,High income,1881
Sub-Saharan Africa,Lower middle income,1999
Sub-Saharan Africa,Lower middle income,1996
Sub-Saharan Africa,Lower middle income,1975
Sub-Saharan Africa,Lower middle income,1961
Sub-Saharan Africa,Lower middle income,2007
Sub-Saharan Africa,Lower middle income,2013
Sub-Saharan Africa,Lower middle income,2007
Sub-Saharan Africa,Lower middle income,1965
Sub-Saharan Africa,Lower middle income,2005
East Asia and Pacific,Upper middle income,1997
East Asia and Pacific,Upper middle income,1902
East Asia and Pacific,Upper middle income,1973
East Asia and Pacific,Upper middle income,1969
East Asia and Pacific,Upper middle income,1955
East Asia and Pacific,Upper middle income,1998
East Asia and Pacific,Upper middle income,1964
East Asia and Pacific,Upper middle income,1962
East Asia and Pacific,Upper middle income,1983
East Asia and Pacific,Upper middle income,1968
East Asia and Pacific,Upper middle income,1996
East Asia and Pacific,Upper middle income,1999
East Asia and Pacific,Upper middle income,1997
East Asia and Pacific,Upper middle income,1940
East Asia and Pacific,Upper middle income,1938
East Asia and Pacific,Upper middle income,1987
East Asia and Pacific,Upper middle income,1917
East Asia and Pacific,Upper middle income,1964
East Asia and Pacific,Upper middle income,1962
East Asia and Pacific,Upper middle income,2002
East Asia and Pacific,Upper middle income,1952
East Asia and Pacific,Upper middle income,1998
East Asia and Pacific,Upper middle income,1934
Europe and Central Asia,Lower middle income,1960
North America,High income,1982
Europe and Central Asia,Lower middle income,1916
Europe and Central Asia,High income,1859
Europe and Central Asia,Lower middle income,1960
Europe and Central Asia,Lower middle income,1875
Europe and Central Asia,Lower middle income,1992
Europe and Central Asia,Lower middle income,1996
Europe and Central Asia,Lower middle income,1995
Europe and Central Asia,Lower middle income,1920
Europe and Central Asia,Lower middle income,1916
Europe and Central Asia,Lower middle income,1893
Europe and Central Asia,Lower middle income,1966
Europe and Central Asia,Lower middle income,1980
Europe and Central Asia,Lower middle income,1918
Europe and Central Asia,Lower middle income,1993
Europe and Central Asia,Lower middle income,1930
North America,High income,1936
Europe and Central Asia,Lower middle income,1930
Europe and Central Asia,Lower middle income,1953
Europe and Central Asia,Lower middle income,1969
Europe and Central Asia,Lower middle income,1992
Europe and Central Asia,High income,1824
Europe and Central Asia,Lower middle income,1921
Europe and Central Asia,Lower middle income,1937
Europe and Central Asia,Lower middle income,1920
Europe and Central Asia,Lower middle income,1940
Europe and Central Asia,Lower middle income,1988
Europe and Central Asia,Lower middle income,1991
Europe and Central Asia,Lower middle income,1929
Europe and Central Asia,Lower middle income,1851
Europe and Central Asia,Lower middle income,1922
Europe and Central Asia,Lower middle income,1996
Europe and Central Asia,High income,1447
Europe and Central Asia,Lower middle income,1917
Europe and Central Asia,Lower middle income,1991
Europe and Central Asia,High income,1971
Europe and Central Asia,Lower middle income,1805
Europe and Central Asia,Lower middle income,1811
Europe and Central Asia,High income,1992
Europe and Central Asia,Lower middle income,1804
Europe and Central Asia,Lower middle income,1930
Europe and Central Asia,Lower middle income,1992
Europe and Central Asia,Lower middle income,1874
Europe and Central Asia,Lower middle income,1957
Europe and Central Asia,Lower middle income,1930
Europe and Central Asia,Lower middle income,1963
Middle East and North Africa,High income,1999
Middle East and North Africa,High income,2008
Middle East and North Africa,High income,2003
Middle East and North Africa,High income,1999
Middle East and North Africa,High income,2003
Middle East and North Africa,High income,2005
Middle East and North Africa,High income,1963
Middle East and North Africa,High income,1953
Sub-Saharan Africa,Upper middle income,1979
Middle East and North Africa,High income,1967
Middle East and North Africa,High income,1976
Middle East and North Africa,High income,1957
Middle East and North Africa,High income,1981
Middle East and North Africa,High income,1949
Middle East and North Africa,High income,2009
Middle East and North Africa,High income,2005
Middle East and North Africa,High income,2009
Middle East and North Africa,High income,2003
Middle East and North Africa,High income,2007
Middle East and North Africa,High income,2007
Middle East and North Africa,High income,2006
Middle East and North Africa,High income,1999
Middle East and North Africa,High income,2013
Middle East and North Africa,High income,1970
Middle East and North Africa,High income,2005
Middle East and North Africa,High income,2004
Middle East and North Africa,High income,2004
Middle East and North Africa,High income,2006
Middle East and North Africa,High income,2009
Middle East and North Africa,High income,2009
Middle East and North Africa,High income,2003
Middle East and North Africa,High income,2003
Middle East and North Africa,High income,1975
Middle East and North Africa,High income,1998
Middle East and North Africa,High income,2006
Middle East and North Africa,High income,2008
Sub-Saharan Africa,Upper middle income,1869
Middle East and North Africa,High income,2013
Middle East and North Africa,High income,2009
Middle East and North Africa,High income,2009
Middle East and North Africa,High income,2011
Middle East and North Africa,High income,1978
Middle East and North Africa,High income,2014
Middle East and North Africa,High income,2009
Middle East and North Africa,High income,2009
Middle East and North Africa,High income,2009
Middle East and North Africa,High income,2009
Middle East and North Africa,High income,2009
Middle East and North Africa,High income,2009
Middle East and North Africa,High income,2009
Middle East and North Africa,High income,2009
Middle East and North Africa,High income,2005
Middle East and North Africa,High income,2006
Middle East and North Africa,High income,2004
Middle East and North Africa,High income,2005
Middle East and North Africa,High income,2006
Middle East and North Africa,High income,2008
Middle East and North Africa,High income,2011
Middle East and North Africa,High income,1990
Sub-Saharan Africa,Low income,1963
Sub-Saharan Africa,Low income,2003
Sub-Saharan Africa,Low income,2000
Sub-Saharan Africa,Low income,2000
Sub-Saharan Africa,Low income,2005
Sub-Saharan Africa,Low income,1907
Sub-Saharan Africa,Low income,1994
Sub-Saharan Africa,Low income,2010
Sub-Saharan Africa,Low income,1990
Sub-Saharan Africa,Low income,1975
Sub-Saharan Africa,Low income,2010
Sub-Saharan Africa,Low income,1995
Sub-Saharan Africa,Low income,1995
Sub-Saharan Africa,Low income,1995
Sub-Saharan Africa,Low income,1993
Sub-Saharan Africa,Low income,1997
Sub-Saharan Africa,Low income,1994
Sub-Saharan Africa,Low income,1994
Sub-Saharan Africa,Low income,1990
Sub-Saharan Africa,Low income,1994
Sub-Saharan Africa,Low income,1951
Sub-Saharan Africa,Low income,1991
Sub-Saharan Africa,Low income,1990
Sub-Saharan Africa,Low income,2008
Sub-Saharan Africa,Low income,2001
Sub-Saharan Africa,Low income,2010
Sub-Saharan Africa,Low income,1990
Sub-Saharan Africa,Low income,1950
Sub-Saharan Africa,Low income,1997
Sub-Saharan Africa,Low income,2008
Sub-Saharan Africa,Low income,1966
Sub-Saharan Africa,Low income,1990
Sub-Saharan Africa,Low income,1985
Sub-Saharan Africa,Low income,1912
Sub-Saharan Africa,Low income,2002
Sub-Saharan Africa,Low income,1999
Sub-Saharan Africa,Low income,1992
Sub-Saharan Africa,Low income,1990
Sub-Saharan Africa,Low income,1994
Sub-Saharan Africa,Low income,2003
Sub-Saharan Africa,Low income,2005
Sub-Saharan Africa,Low income,1997
Sub-Saharan Africa,Low income,2001
Sub-Saharan Africa,Low income,1991
Sub-Saharan Africa,Low income,2003
Sub-Saharan Africa,Low income,2001
Sub-Saharan Africa,Low income,2007
Sub-Saharan Africa,Low income,1956
Sub-Saharan Africa,Low income,2003
Sub-Saharan Africa,Low income,1988
Sub-Saharan Africa,Low income,1995
Europe and Central Asia,High income,1923
Sub-Saharan Africa,Low income,1991
Sub-Saharan Africa,Low income,1974
Sub-Saharan Africa,Low income,2004
Sub-Saharan Africa,Low income,2011
Sub-Saharan Africa,Low income,1996
Sub-Saharan Africa,Low income,2012
Sub-Saharan Africa,Low income,2011
Sub-Saharan Africa,Low income,2003
Sub-Saharan Africa,Low income,2013
Sub-Saharan Africa,Low income,2011
Latin America and Caribbean,Upper middle income,1968
Latin America and Caribbean,Upper middle income,1997
Europe and Central Asia,High income,1989
Europe and Central Asia,High income,1891
Europe and Central Asia,High income,1829
Europe and Central Asia,High income,1998
Europe and Central Asia,High income,1966
Europe and Central Asia,High income,1891
North America,High income,1870
North America,High income,1871
Europe and Central Asia,High income,1813
Europe and Central Asia,High income,1909
Europe and Central Asia,High income,1977
Europe and Central Asia,High income,1993
Europe and Central Asia,High income,1977
Europe and Central Asia,High income,1977
Europe and Central Asia,High income,1983
Europe and Central Asia,Lower middle income,2000
Europe and Central Asia,Lower middle income,1989
Europe and Central Asia,Lower middle income,1993
Europe and Central Asia,Lower middle income,1930
Europe and Central Asia,Lower middle income,1993
Europe and Central Asia,Lower middle income,1661
Europe and Central Asia,Lower middle income,1945
Europe and Central Asia,Lower middle income,1967
Europe and Central Asia,Lower middle income,1940
North America,High income,1897
Europe and Central Asia,Lower middle income,1918
Europe and Central Asia,Lower middle income,1816
Europe and Central Asia,Lower middle income,1930
Europe and Central Asia,Lower middle income,1912
Europe and Central Asia,Lower middle income,1930
North America,High income,1851
Europe and Central Asia,Lower middle income,2001
Europe and Central Asia,Lower middle income,1930
Europe and Central Asia,High income,1970
Europe and Central Asia,Lower middle income,1930
Europe and Central Asia,Lower middle income,1930
Latin America and Caribbean,High income,1997
Latin America and Caribbean,High income,1990
Latin America and Caribbean,High income,2012
Latin America and Caribbean,Upper middle income,1953
Europe and Central Asia,Lower middle income,1955
East Asia and Pacific,Lower middle income,1946
Europe and Central Asia,Lower middle income,1931
Europe and Central Asia,Lower middle income,1995
Europe and Central Asia,Lower middle income,1964
Europe and Central Asia,Lower middle income,1992
Europe and Central Asia,Lower middle income,1930
Europe and Central Asia,Lower middle income,1930
Europe and Central Asia,Lower middle income,1967
Europe and Central Asia,Lower middle income,1980
Europe and Central Asia,Lower middle income,1930
North America,High income,1849
Europe and Central Asia,Lower middle income,1959
Europe and Central Asia,Lower middle income,1994
Europe and Central Asia,Lower middle income,1900
Europe and Central Asia,Lower middle income,1930
Europe and Central Asia,Lower middle income,1903
Europe and Central Asia,Lower middle income,1919
North America,High income,1909
Europe and Central Asia,Lower middle income,1960
Europe and Central Asia,Lower middle income,1922
Europe and Central Asia,Lower middle income,2004
Europe and Central Asia,Lower middle income,2001
Europe and Central Asia,Lower middle income,1920
Europe and Central Asia,Lower middle income,2002
Europe and Central Asia,Lower middle income,1952
North America,High income,1907
Europe and Central Asia,Lower middle income,1856
North America,High income,1873
Europe and Central Asia,Lower middle income,1923
Europe and Central Asia,Lower middle income,1999
Europe and Central Asia,Lower middle income,2002
North America,High income,1893
Europe and Central Asia,Lower middle income,1930
Europe and Central Asia,Lower middle income,2008
Europe and Central Asia,Lower middle income,1995
Europe and Central Asia,Lower middle income,2011
North America,High income,1891
Europe and Central Asia,Lower middle income,1992
Europe and Central Asia,Lower middle income,1970
North America,High income,1952
Europe and Central Asia,Lower middle income,1957
North America,High income,1911
Europe and Central Asia,Lower middle income,1875
Europe and Central Asia,Lower middle income,1899
North America,High income,1979
Europe and Central Asia,Lower middle income,1921
Europe and Central Asia,Lower middle income,2001
Europe and Central Asia,Lower middle income,2000
Europe and Central Asia,Lower middle income,2004
Europe and Central Asia,Lower middle income,1993
Europe and Central Asia,Lower middle income,1997
Europe and Central Asia,Lower middle income,2004
Europe and Central Asia,Lower middle income,1995
Europe and Central Asia,Lower middle income,2002
Europe and Central Asia,Lower middle income,1992
Europe and Central Asia,Lower middle income,2000
Europe and Central Asia,Lower middle income,1995
Europe and Central Asia,Lower middle income,2010
Europe and Central Asia,Lower middle income,1926
North America,High income,1773
Europe and Central Asia,Lower middle income,1995
Europe and Central Asia,Lower middle income,2003
Europe and Central Asia,Lower middle income,1995
Europe and Central Asia,Lower middle income,2001
Europe and Central Asia,Lower middle income,2002
Europe and Central Asia,Lower middle income,1999
Europe and Central Asia,Lower middle income,2008
Europe and Central Asia,Lower middle income,1990
Europe and Central Asia,Lower middle income,2003
Europe and Central Asia,Lower middle income,2003
Europe and Central Asia,Lower middle income,1999
North America,High income,1831
Europe and Central Asia,Lower middle income,1937
Europe and Central Asia,Lower middle income,1945
Europe and Central Asia,Lower middle income,1949
North America,High income,1866
Europe and Central Asia,Lower middle income,1939
North America,High income,1896
Europe and Central Asia,Lower middle income,1996
Europe and Central Asia,Lower middle income,1995
Europe and Central Asia,Lower middle income,1996
Europe and Central Asia,Lower middle income,1992
Europe and Central Asia,Lower middle income,1996
North America,High income,1971
Europe and Central Asia,Lower middle income,1960
Europe and Central Asia,Lower middle income,2007
Europe and Central Asia,Lower middle income,1992
Europe and Central Asia,Lower middle income,2000
Europe and Central Asia,Lower middle income,1926
Europe and Central Asia,Lower middle income,2007
Europe and Central Asia,Lower middle income,1993
Europe and Central Asia,Lower middle income,2001
North America,High income,1881
Europe and Central Asia,Lower middle income,1946
Europe and Central Asia,High income,1994
Europe and Central Asia,High income,1977
Europe and Central Asia,High income,1977
Europe and Central Asia,High income,1990
Europe and Central Asia,High income,1967
Europe and Central Asia,High income,1977
Europe and Central Asia,High income,1810
Europe and Central Asia,High income,1844
Europe and Central Asia,High income,1735
Europe and Central Asia,High income,1771
Europe and Central Asia,High income,1827
Europe and Central Asia,High income,1967
Europe and Central Asia,High income,2010
Europe and Central Asia,High income,1977
Europe and Central Asia,High income,1971
Europe and Central Asia,High income,1666
Europe and Central Asia,High income,1977
Europe and Central Asia,High income,1971
Europe and Central Asia,High income,1998
Europe and Central Asia,High income,1977
Europe and Central Asia,High income,1977
Europe and Central Asia,High income,1996
Europe and Central Asia,High income,1884
Europe and Central Asia,High income,1877
Europe and Central Asia,High income,1960
Europe and Central Asia,High income,1956
Europe and Central Asia,High income,1878
Europe and Central Asia,High income,1977
Europe and Central Asia,High income,1993
Europe and Central Asia,High income,1965
Europe and Central Asia,High income,1477
Europe and Central Asia,High income,2012
Europe and Central Asia,High income,1997
,,1964
Europe and Central Asia,High income,1997
Europe and Central Asia,High income,2011
Europe and Central Asia,High income,1993
Europe and Central Asia,High income,1988
Europe and Central Asia,High income,1802
North America,High income,1869
Europe and Central Asia,High income,1853
,,1885
Europe and Central Asia,High income,1855
Europe and Central Asia,High income,2007
Europe and Central Asia,High income,2006
Europe and Central Asia,High income,1999
,,1994
Europe and Central Asia,High income,2000
Europe and Central Asia,High income,2001
Europe and Central Asia,High income,1997
Europe and Central Asia,High income,1997
Europe and Central Asia,High income,1927
Europe and Central Asia,High income,1924
Europe and Central Asia,High income,1995
Europe and Central Asia,High income,2007
Europe and Central Asia,High income,2001
Europe and Central Asia,High income,1997
Europe and Central Asia,High income,1995
,,1996
Europe and Central Asia,High income,1460
,,1987
Europe and Central Asia,High income,1834
Europe and Central Asia,High income,1574
Europe and Central Asia,High income,1898
Europe and Central Asia,Upper middle income,1985
Europe and Central Asia,Upper middle income,1992
Europe and Central Asia,Upper middle income,1954
Europe and Central Asia,Upper middle income,2008
Europe and Central Asia,Upper middle income,1998
Europe and Central Asia,Upper middle income,1992
Europe and Central Asia,Upper middle income,2008
Europe and Central Asia,Upper middle income,2006
Europe and Central Asia,Upper middle income,1975
Europe and Central Asia,Upper middle income,2010
Europe and Central Asia,Upper middle income,2007
Europe and Central Asia,Upper middle income,1911
Europe and Central Asia,Upper middle income,2003
Europe and Central Asia,Upper middle income,1994
Europe and Central Asia,Upper middle income,2006
Europe and Central Asia,Upper middle income,2008
Europe and Central Asia,Upper middle income,1997
Europe and Central Asia,Upper middle income,2010
Europe and Central Asia,Upper middle income,2009
Europe and Central Asia,Upper middle income,2010
Europe and Central Asia,Upper middle income,1773
Europe and Central Asia,Upper middle income,2001
Europe and Central Asia,Upper middle income,1963
Europe and Central Asia,Upper middle income,1453
Europe and Central Asia,Upper middle income,2010
Europe and Central Asia,Upper middle income,2001
Europe and Central Asia,Upper middle income,1882
Europe and Central Asia,Upper middle income,1956
Europe and Central Asia,Upper middle income,2010
Europe and Central Asia,Upper middle income,1992
Europe and Central Asia,Upper middle income,2008
Sub-Saharan Africa,Low income,1969
Europe and Central Asia,Upper middle income,1885
Europe and Central Asia,Upper middle income,1997
Europe and Central Asia,Upper middle income,1992
Europe and Central Asia,Upper middle income,1992
Europe and Central Asia,Upper middle income,2007
Europe and Central Asia,Upper middle income,1955
Europe and Central Asia,Upper middle income,1987
Europe and Central Asia,Upper middle income,2006
Europe and Central Asia,Upper middle income,2007
Europe and Central Asia,Upper middle income,1992
Europe and Central Asia,Upper middle income,2007
Europe and Central Asia,Upper middle income,1959
Europe and Central Asia,Upper middle income,1992
Europe and Central Asia,Upper middle income,1979
Europe and Central Asia,Upper middle income,2009
Europe and Central Asia,Upper middle income,1989
Europe and Central Asia,Upper middle income,1997
Europe and Central Asia,Upper middle income,2007
Europe and Central Asia,Upper middle income,1883
Europe and Central Asia,Upper middle income,2006
Europe and Central Asia,Upper middle income,1992
Europe and Central Asia,Upper middle income,1883
Sub-Saharan Africa,Low income,1922
Europe and Central Asia,Upper middle income,1992
Europe and Central Asia,Upper middle income,1992
Europe and Central Asia,Upper middle income,2007
Europe and Central Asia,Upper middle income,1962
Europe and Central Asia,Upper middle income,1982
Europe and Central Asia,Upper middle income,1992
